absolutise: absolutize
absolutised: absolutized
absolutises: absolutizes
absolutising: absolutizing
accessorise: accessorize
accessorised: accessorized
accessorises: accessorizes
accessorising: accessorizing
acclimatisation: acclimatization
acclimatise: acclimatize
acclimatised: acclimatized
acclimatises: acclimatizes
acclimatising: acclimatizing
actualisation: actualization;
actualise: actualize
actualised: actualized
actualises: actualizes
actualising: actualizing
aeroplane: airplane
aeroplanes: airplanes
aggrandise: aggrandize
aggrandised: aggrandized
aggrandisement: aggrandizement
aggrandises: aggrandizes
aggrandising: aggrandizing
agonise: agonize
agonised: agonized
agonises: agonizes
agonising: agonizing
agonisingly: agonizingly
alphabetisation: alphabetization
alphabetise: alphabetize
alphabetised: alphabetized
alphabetises: alphabetizes
alphabetising: alphabetizing
aluminium: aluminum
amortisable: amortizable
amortisation: amortization
amortise: amortize
amortised: amortized
amortises: amortizes
amortising: amortizing
analogue: analog
analogues: analogs
analyse: analyze
analysed: analyzed
analyser: analyzer
analysers: analyzers
analyses: analyzes
analysing: analyzing
anglicisation: anglicization
anglicisations: anglicizations
anglicise: anglicize
anglicised: anglicized
anglicises: anglicizes
anglicising: anglicizing
anonymisation: anonymization
anonymise: anonymize
anonymised: anonymized
anonymiser: anonymizer
anonymisers: anonymizers
anonymises: anonymizes
anonymising: anonymizing
antagonise: antagonize
antagonised: antagonized
antagonises: antagonizes
antagonising: antagonizing
anthropomorphisation: anthropomorphization
anthropomorphise: anthropomorphize
anthropomorphised: anthropomorphized
anthropomorphises: anthropomorphizes
anthropomorphising: anthropomorphizing
anticlockwise: anticlockwize
apologise: apologize
apologised: apologized
apologises: apologizes
apologising: apologizing
appetiser: appetizer
appetisers: appetizers
armour: armor
armoured: armored
armourer: armorer
armourers: armorers
armours: armors
armoury: armory
artefact: artifact
artefacts: artifacts
authorisation: authorization
authorisations: authorizations
authorise: authorize
authorised: authorized
authorises: authorizes
authorising: authorizing
baptise: baptize
baptised: baptized
baptises: baptizes
baptising: baptizing
behaviour: behavior
behavioural: behavioral
behaviourism: behaviorism
behaviourist: behaviorist
behaviourists: behaviorists
behaviours: behaviors
bobsleigh: bobsled
bobsleighs: bobsleds
brutalisation: brutalization
brutalise: brutalize
brutalised: brutalized
brutalises: brutalizes
brutalising: brutalizing
camomile: chamomile
cancelled: canceled
cancelling: canceling
cannibalisation: cannibalization
cannibalise: cannibalize
cannibalised: cannibalized
cannibalises: cannibalizes
cannibalising: cannibalizing
canonicalised: canonicalized
canonisation: canonization
canonisations: canonizations
canonise: canonize
canonised: canonized
canonises: canonizes
canonising: canonizing
capitalisation: capitalization
capitalise: capitalize
capitalised: capitalized
capitalises: capitalizes
capitalising: capitalizing
castor: caster
castors: casters
catalogue: catalog
catalogues: catalogs
categorisable: categorizable
categorisation: categorization
categorisations: categorizations
categorise: categorize
categorised: categorized
categorises: categorizes
categorising: categorizing
centenaries: centennials
centenary: centennial
centilitre: centiliter
centilitres: centiliters
centimetre: centimeter
centimetres: centimeters
centralisation: centralization
centralisations: centralizations
centralise: centralize
centralised: centralized
centralises: centralizes
centralising: centralizing
centre: center
centres: centers
cerebella: cerebellums
characterisation: characterization
characterisations: characterizations
characterise: characterize
characterised: characterized
characterises: characterizes
characterising: characterizing
cheque: check
cheques: checks
circularise: circularize
circularised: circularized
circularises: circularizes
circularising: circularizing
civilisation: civilization
civilisations: civilizations
civilise: civilize
civilised: civilized
civilises: civilizes
civilising: civilizing
clamour: clamor
clamours: clamors
cochleae: cochleas
colonisation: colonization
colonise: colonize
colonised: colonized
coloniser: colonizer
colonisers: colonizers
colonises: colonizes
colonising: colonizing
colorisation: colorization
colorise: colorize
colorised: colorized
colorises: colorizes
colorising: colorizing
colour: color
coloured: colored
colourful: colorful
colourfully: colorfully
colourfulness: colorfulness
colouring: coloring
colourings: colorings
colourizer: colorizer
colourizers: colorizers
colours: colors
commercialisation: commercialization
commercialise: commercialize
commercialised: commercialized
commercialises: commercializes
commercialising: commercializing
compartmentalisation: compartmentalization
compartmentalise: compartmentalize
compartmentalised: compartmentalized
compartmentalises: compartmentalizes
compartmentalising: compartmentalizing
computerisation: computerization
computerise: computerize
computerised: computerized
computerises: computerizes
computerising: computerizing
conceptualisation: conceptualization
conceptualisations: conceptualizations
conceptualise: conceptualize
conceptualised: conceptualized
conceptualises: conceptualizes
conceptualising: conceptualizing
contextualisation: contextualization
contextualise: contextualize
contextualised: contextualized
contextualises: contextualizes
contextualising: contextualizing
cornflour: cornflor
cosy: cozy
councillor: councilor
councillors: councilors
councillorship: councilorship
counselling: counseling
counsellor: counselor
counsellors: counselors
criminalise: criminalize
criminalised: criminalized
criminalises: criminalizes
criminalising: criminalizing
criticise: criticize
criticised: criticized
criticises: criticizes
criticising: criticizing
crystallisation: crystallization
crystallise: crystallize
crystallised: crystallized
crystallises: crystallizes
crystallising: crystallizing
customisable: customizable
customisation: customization
customisations: customizations
customise: customize
customised: customized
customiser: customizer
customisers: customizers
customises: customizes
customising: customizing
daemonisation: daemonization
daemonise: daemonize
daemonised: daemonized
daemonises: daemonizes
daemonising: daemonizing
decentralisation: decentralization
decentralise: decentralize
decentralised: decentralized
decentralises: decentralizes
decentralising: decentralizing
decilitre: deciliter
decilitres: deciliters
decriminalisation: decriminalization
decriminalise: decriminalize
decriminalised: decriminalized
decriminalises: decriminalizes
decriminalising: decriminalizing
defence: defense
defences: defenses
dehumanisation: dehumanization
dehumanise: dehumanize
dehumanised: dehumanized
dehumanises: dehumanizes
dehumanising: dehumanizing
deinitialise: deinitialize
deinitialised: deinitialized
deinitialises: deinitializes
deinitialising: deinitializing
demarshalling: demarshaling
dematerialisation: dematerialization
dematerialise: dematerialize
dematerialised: dematerialized
dematerialises: dematerializes
dematerialising: dematerializing
demilitarisation: demilitarization
demilitarisations: demilitarizations
demilitarise: demilitarize
demilitarised: demilitarized
demilitarises: demilitarizes
demilitarising: demilitarizing
demobilisation: demobilization
demobilise: demobilize
demobilised: demobilized
demobilises: demobilizes
demobilising: demobilizing
democratisation: democratization
democratise: democratize
democratised: democratized
democratises: democratizes
democratising: democratizing
demonise: demonize
demonised: demonized
demonises: demonizes
demonising: demonizing
demoralisation: demoralization
demoralise: demoralize
demoralised: demoralized
demoralises: demoralizes
demoralising: demoralizing
denormalised: denormalized
dependant: dependent
dependants: dependents
depersonalise: depersonalize
depersonalised: depersonalized
depersonalises: depersonalizes
depersonalising: depersonalizing
deputise: deputize
deputised: deputized
deputises: deputizes
deputising: deputizing
desensitisation: desensitization
desensitise: desensitize
desensitised: desensitized
desensitises: desensitizes
desensitising: desensitizing
deserialisability: deserializability
deserialisable: deserializable
deserialisation: deserialization
deserialisations: deserializations
deserialise: deserialize
deserialised: deserialized
deserialiser: deserializer
deserialisers: deserializers
deserialises: deserializes
deserialising: deserializing
destabilisation: destabilization
destabilise: destabilize
destabilised: destabilized
destabilises: destabilizes
destabilising: destabilizing
desynchronisation: desynchronization
desynchronisations: desynchronizations
desynchronise: desynchronize
desynchronised: desynchronized
desynchronises: desynchronizes
desynchronising: desynchronizing
devirtualisation: devirtualization
devirtualise: devirtualize
devirtualised: devirtualized
devirtualises: devirtualizes
devirtualising: devirtualizing
dialled: dialed
dialling: dialing
digitalisation: digitalization
digitalise: digitalize
digitalised: digitalized
digitalises: digitalizes
digitalising: digitalizing
digitisation: digitization
digitise: digitize
digitised: digitized
digitises: digitizes
digitising: digitizing
disorganisation: disorganization
disorganised: disorganized
dramatisation: dramatization
dramatisations: dramatizations
dramatise: dramatize
dramatised: dramatized
dramatises: dramatizes
dramatising: dramatizing
